Scene,Variant,NEvals,CVFTriggerCount,CVFSuccessCount,NEvalsRatioVsWithoutCVF
1,Base-AE,9030,0,0,0.946035138447999
1,CVF-AE-w/o-Init,9581.83333333333,60.4333333333333,41.5333333333333,1.00384839690871
1,CVF-AE-w/o-StateAdaptiveCVF,9565.96666666667,20.6333333333333,19.6666666666667,1.00218611294451
1,CVF-AE-w/o-SparsePreservation,9060.93333333333,26.6,24.4333333333333,0.949275893739545
1,CVF-AE-w/o-CVF,9545.1,0,0,1
1,CVF-AE,9566.36666666667,21.1333333333333,19.1666666666667,1.00222801926294
2,Base-AE,9030,0,0,0.946497887936607
2,CVF-AE-w/o-Init,9614.86666666667,120.266666666667,90.7,1.00780188181529
2,CVF-AE-w/o-StateAdaptiveCVF,9560.86666666667,20.4333333333333,14.5666666666667,1.00214176155521
2,CVF-AE-w/o-SparsePreservation,9041.96666666667,11.3666666666667,8.33333333333333,0.947752198537454
2,CVF-AE-w/o-CVF,9540.43333333333,0,0,1
2,CVF-AE,9551.6,10.6,7.9,1.00117045696736
3,Base-AE,9030,0,0,0.973406491532549
3,CVF-AE-w/o-Init,9801.93333333333,403.766666666667,341.666666666667,1.05661855329302
3,CVF-AE-w/o-StateAdaptiveCVF,9321.83333333333,72.4666666666667,46.2666666666667,1.00486523584177
3,CVF-AE-w/o-SparsePreservation,9119.93333333333,89.9,58,0.9831010308982
3,CVF-AE-w/o-CVF,9276.7,0,0,1
3,CVF-AE,9367.06666666667,86.8,59.5333333333333,1.0097412513789
