Algorithm,AverageRank,AverageMeanFitness,AverageFeasibility,EngineeringFlagRate,AlgorithmOrder
AE,7,1377.33353500998,0.111111111111111,0.222222222222222,1
PSO,5.66666666666667,807.6387980299,0.444444444444444,0.455555555555555,2
GWO,4,431.662552329609,0.855555555555556,0.966666666666667,3
HHO,5.33333333333333,581.578601887852,0.688888888888889,0.777777777777778,4
ERIME,2.66666666666667,333.139057483156,1,0.777777777777778,5
MSCSO,2,335.928181299334,0.977777777777778,0.611111111111111,6
CVF-AE,1.33333333333333,316.18890652954,1,0.0666666666666667,7
