Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,MeanZ,MeanMaxZ,MeanHighAltitudeFrac,MeanVeryHighAltitudeFrac,MeanDetourRatio,MeanBoundaryDist,MeanBoundaryHugFrac,MeanControlPointBoundaryHugFrac,HighAltitudeFlagRate,BoundaryHugFlagRate,ExcessiveDetourFlagRate,ControlPointEdgeFlagRate,VisualReviewFlagRate,Source,PaperScene,AlgorithmOrder
1,AE,30,0.333333333333333,810.325824286047,23.9517522868884,28.0361548449552,0.546818181818182,0.00651515151515152,1.28669391869967,32.6917789540539,0.00569514237855946,0.0111111111111111,0.666666666666667,0,0.0333333333333333,0,0.666666666666667,formal-main,1,1
1,PSO,30,0.866666666666667,397.508683252933,25.1503698383157,30.3097341997752,0.518787878787879,0.328484848484848,1.19890115704855,18.5536485392489,0.231825795644891,0.338888888888889,0.566666666666667,0.0333333333333333,0,0.266666666666667,0.733333333333333,formal-main,1,2
1,GWO,30,0.933333333333333,345.369451984251,14.0034239749295,18.4052008044304,0.00757575757575758,0,1.22414606876601,7.13041478244238,0.622780569514238,0.744444444444445,0,0.466666666666667,0,0.9,0.9,formal-main,1,3
1,HHO,30,0.8,450.557517163338,19.4099960124416,24.0069741216093,0.268333333333333,0.113333333333333,1.24027231869751,10.5403411499893,0.47001675041876,0.588888888888889,0.266666666666667,0.333333333333333,0,0.433333333333333,0.6,formal-main,1,4
1,ERIME,30,1,322.989264095134,17.1022177213088,23.7873513320373,0.281363636363636,0.0562121212121212,1.18160760975164,12.3325948974979,0.373701842546064,0.472222222222222,0.333333333333333,0.266666666666667,0,0.4,0.7,recent-improved,1,5
1,MSCSO,30,1,314.345331601272,19.983315277974,23.956736430006,0.288484848484848,0.102878787878788,1.17310635658419,13.7322479881319,0.239195979899497,0.388888888888889,0.333333333333333,0.133333333333333,0,0.2,0.533333333333333,recent-improved,1,6
1,CVF-AE,30,1,298.137864539111,13.181035781185,18.0014913682558,0,0,1.06671698183956,22.4495286768604,0.0187604690117253,0.0833333333333333,0,0,0,0,0,formal-main,1,7
2,AE,30,0,1668.40423813825,19.8888876175781,22.3904929754513,0.0356060606060606,0,1.29356943874162,35.4069783102091,0.00201005025125628,0.0166666666666667,0,0,0,0,0,formal-main,2,1
2,PSO,30,0.433333333333333,729.948994581617,23.0527999681901,26.6687870310049,0.452424242424242,0.218787878787879,1.29896221413688,22.5482150457546,0.16214405360134,0.261111111111111,0.533333333333333,0.133333333333333,0.0666666666666667,0.2,0.533333333333333,formal-main,2,2
2,GWO,30,1,341.161120497287,14.7293167612464,18.8575957479977,0.0477272727272727,0,1.26104584554226,4.33751386030155,0.822278056951424,0.866666666666667,0.0666666666666667,0.9,0,1,1,formal-main,2,3
2,HHO,30,0.9,395.834300530036,19.2096267946559,23.1406830124773,0.345606060606061,0.005,1.23310004827775,11.099289099034,0.4321608040201,0.538888888888889,0.4,0.333333333333333,0,0.466666666666667,0.766666666666667,formal-main,2,4
2,ERIME,30,1,316.19319183287,16.9271991937767,23.0429680541636,0.250909090909091,0.0374242424242424,1.19435727654792,10.5268159042603,0.473366834170854,0.616666666666667,0.233333333333333,0.366666666666667,0,0.466666666666667,0.666666666666667,recent-improved,2,5
2,MSCSO,30,1,291.167989109054,20.0699606591621,24.1996234941051,0.406363636363636,0,1.15246409844723,14.646404543222,0.188107202680067,0.327777777777778,0.5,0.0333333333333333,0,0.133333333333333,0.633333333333333,recent-improved,2,6
2,CVF-AE,30,1,301.201825136219,16.3765494482448,18.470001856691,0,0,1.15735054897051,20.3488158080062,0.0872696817420436,0.266666666666667,0,0,0,0,0,formal-main,2,7
4,AE,30,0,1653.27054260566,16.8594751710384,18.4720387064034,0,0,1.21046507684393,41.1279078431747,0,0,0,0,0,0,0,formal-main,3,1
4,PSO,30,0.0333333333333333,1295.45871625515,14.5186392849381,19.5197872189344,0.018030303030303,0.0104545454545455,1.38387806761032,34.7443939107276,0.0510887772194305,0.144444444444444,0.0333333333333333,0,0.0666666666666667,0.0333333333333333,0.1,formal-main,3,2
4,GWO,30,0.633333333333333,608.45708450729,13.2397459430788,18.2401075361309,0,0,1.3613310358301,2.81656763756536,0.925963149078727,0.961111111111111,0,0.966666666666667,0.0333333333333333,1,1,formal-main,3,3
4,HHO,30,0.366666666666667,898.343987970181,12.5289414563915,19.0855287984607,0.0210606060606061,0,1.25860144881748,4.72076666455022,0.852763819095478,0.927777777777778,0,0.833333333333333,0,0.966666666666667,0.966666666666667,formal-main,3,4
4,ERIME,30,1,360.234716521464,11.1281693137157,18.2837173637751,0.0239393939393939,0.0216666666666667,1.36711782185791,4.41386634381899,0.889782244556114,0.872222222222222,0.0333333333333333,0.966666666666667,0,0.966666666666667,0.966666666666667,recent-improved,3,5
4,MSCSO,30,0.933333333333333,402.271223187677,15.6024649027903,18.987917602981,0,0,1.34222505966033,6.54078701861705,0.679396984924623,0.738888888888889,0,0.6,0,0.666666666666667,0.666666666666667,recent-improved,3,6
4,CVF-AE,30,1,349.227029913288,14.6356660951913,19.0245031304372,0.000909090909090909,0,1.22963383476046,20.3145627903688,0.24891122278057,0.45,0,0.166666666666667,0,0.2,0.2,formal-main,3,7
