FigureSet,Scene,DisplayName,Algorithm,SourceDir,RunFile,SelectionTier,SelectionDistance,BestFitness,Feasible,Violation,VisualReviewFlag,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,MeanZ,MaxZ,HighAltitudeFrac,BoundaryHugFrac,DetourRatio
extended,1,GDSAO,GDSAO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene1_GDSAO_run002.mat,feasible_clean_median,0.133618960882529,319.005271406599,1,0,0,0,0,0,0,10.4953345188809,18,0,0.371859296482412,1.2184500983641
extended,1,MSCSO,MSCSO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene1_MSCSO_run022.mat,feasible_clean_median,0.0228496716609925,308.893810351557,1,0,0,0,0,0,0,16.7263001725975,18.0404058943346,0,0.165829145728643,1.17400581141456
extended,1,ERIME,ERIME,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene1_ERIME_run023.mat,feasible_clean_median,0.19697617036752,318.57088324365,1,6.21724893790088e-15,0,0,0,0,0,8.95559662084642,18,0,0.542713567839196,1.20922335059558
extended,2,CVF-AE,CVF-AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene2_CVF-AE_run028.mat,feasible_clean_median,0.00990386096651719,301.133738373621,1,0,0,0,0,0,0,16.4054678989677,18.1556274180261,0,0.0904522613065327,1.16330946781185
extended,2,CPO,CPO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene2_CPO_run019.mat,feasible_flagged_median,0.00364068333698242,277.611321573823,1,0,1,1,0,0,0,28.5912337202081,31.1132057595097,0.881818181818182,0,1.10760586397963
extended,2,DBO,DBO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene2_DBO_run012.mat,feasible_clean_median,14.8162684263635,356.231485987192,1,0,0,0,0,0,0,12.8719263919518,18,0,0.422110552763819,1.34254572914412
extended,2,GDSAO,GDSAO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene2_GDSAO_run024.mat,feasible_clean_median,13.2828398392274,312.031432467727,1,0,0,0,0,0,0,11.9425456216258,18,0,0.331658291457286,1.21479392610629
extended,2,MSCSO,MSCSO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene2_MSCSO_run022.mat,feasible_clean_median,0.0669711064720104,285.288625437225,1,0,0,0,0,0,0,11.1214852024132,18,0,0.361809045226131,1.17315096153387
extended,2,ERIME,ERIME,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene2_ERIME_run009.mat,feasible_clean_median,1.89849829974548,301.904661387248,1,0,0,0,0,0,0,10.1140112108986,18,0,0.281407035175879,1.18265933731209
extended,4,CVF-AE,CVF-AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene4_CVF-AE_run005.mat,feasible_clean_median,0.771957655482481,342.050794133356,1,0,0,0,0,0,0,14.8152143344726,18.2012195052372,0,0.0351758793969849,1.20277801206592
extended,4,CPO,CPO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene4_CPO_run018.mat,feasible_flagged_median,0.0677161966775088,338.186431880294,1,0,1,0,1,0,1,21.8651916784117,23.5049205588116,0,0.954773869346734,1.36885623659815
extended,4,DBO,DBO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene4_DBO_run019.mat,feasible_flagged_median,0.0719017089824661,373.771322824686,1,0,1,0,1,0,1,12.9213180944121,20.4981515329088,0,0.939698492462312,1.38778909082269
extended,4,GDSAO,GDSAO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene4_GDSAO_run022.mat,feasible_flagged_median,0.215674546586001,345.626744103901,1,0,1,0,1,0,1,10.2439005082723,18,0,0.874371859296482,1.36321572852016
extended,4,MSCSO,MSCSO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene4_MSCSO_run002.mat,feasible_clean_median,1.68410552998353,338.363222431784,1,0,0,0,0,0,0,21.5364915034061,22.3335276729874,0,0.457286432160804,1.37813100447041
extended,4,ERIME,ERIME,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_recent_improved_formal_20260623_161229,scene4_ERIME_run005.mat,feasible_clean_median,18.6088268569745,331.522109315885,1,1.59872115546023e-14,0,0,0,0,0,9.88592244859452,18,0,0.0703517587939698,1.19726071213493
ablation,1,CVF-AE,CVF_AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene1_CVF_AE_run004.mat,feasible_clean_median,0.0167735779799614,298.601998241259,1,0,0,0,0,0,0,13.3126578735905,18,0,0.125628140703518,1.07283770574034
ablation,1,w/o CVF,CVF_AE_W_O_CVF,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene1_CVF_AE_W_O_CVF_run020.mat,feasible_clean_median,0.0229833012899689,307.5029142244,1,0,0,0,0,0,0,15.5575762108448,18,0,0,1.04708049356197
ablation,1,w/o StateCVF,CVF_AE_W_O_STATEADAPTIVECVF,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene1_CVF_AE_W_O_STATEADAPTIVECVF_run013.mat,feasible_clean_median,0.0351555149189835,298.571005142525,1,0,0,0,0,0,0,14.4297165450943,18,0,0,1.0655833523868
ablation,1,w/o Sparse,CVF_AE_W_O_SPARSEPRESERVATION,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene1_CVF_AE_W_O_SPARSEPRESERVATION_run015.mat,feasible_clean_median,0.0905180639954892,307.96409953851,1,0,0,0,0,0,0,15.9511246412175,18,0,0,1.04839173897827
ablation,1,w/o Init,CVF_AE_W_O_INIT,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene1_CVF_AE_W_O_INIT_run025.mat,feasible_clean_median,0.321218085074463,315.551585423861,1,0,0,0,0,0,0,16.5676433836041,18.5231009345087,0,0,1.05775767086207
ablation,1,Base-AE,BASE_AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene1_BASE_AE_run009.mat,feasible_clean_median,0,403.174953120409,1,0,0,0,0,0,0,20.8725686887865,26.7196485555563,0.186363636363636,0,1.16851790766553
ablation,2,CVF-AE,CVF_AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene2_CVF_AE_run019.mat,feasible_clean_median,0.0792003371699934,300.627265363361,1,0,0,0,0,0,0,17.1211575657095,18.6371890570203,0,0.0904522613065327,1.16745843136429
ablation,2,w/o CVF,CVF_AE_W_O_CVF,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene2_CVF_AE_W_O_CVF_run003.mat,feasible_clean_median,0.11017782289548,302.881869470791,1,0,0,0,0,0,0,15.2252210976855,18,0,0.100502512562814,1.146718948897
ablation,2,w/o StateCVF,CVF_AE_W_O_STATEADAPTIVECVF,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene2_CVF_AE_W_O_STATEADAPTIVECVF_run017.mat,feasible_clean_median,0.236126697477971,301.290539261896,1,0,0,0,0,0,0,17.6827095426242,19.6501714273102,0,0.0603015075376884,1.14987093338295
ablation,2,w/o Sparse,CVF_AE_W_O_SPARSEPRESERVATION,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene2_CVF_AE_W_O_SPARSEPRESERVATION_run019.mat,feasible_clean_median,0.0296613935140044,302.410000725382,1,0,0,0,0,0,0,14.9095998598394,18,0,0.130653266331658,1.17830315592863
ablation,2,w/o Init,CVF_AE_W_O_INIT,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene2_CVF_AE_W_O_INIT_run017.mat,feasible_clean_median,0.246657866059479,312.707400886147,1,0,0,0,0,0,0,18.7798880324974,20.9779077482739,0,0.0804020100502513,1.17177007129114
ablation,2,Base-AE,BASE_AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene2_BASE_AE_run010.mat,infeasible_min_violation_median,486.499585770605,1128.47542793498,0,3,1,0,0,1,0,20.7723374711217,24.927693961169,0.122727272727273,0.160804020100503,1.89267655026481
ablation,4,CVF-AE,CVF_AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene4_CVF_AE_run024.mat,feasible_clean_median,0.00436682124200161,341.908031768379,1,0,0,0,0,0,0,17.4126791622075,19.9793271952528,0,0.0653266331658292,1.17680049296065
ablation,4,w/o CVF,CVF_AE_W_O_CVF,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene4_CVF_AE_W_O_CVF_run022.mat,feasible_clean_median,0.165924911982472,349.578132478559,1,0,0,0,0,0,0,18.3072533965051,24.21427522639,0.0818181818181818,0.0703517587939698,1.21448085206604
ablation,4,w/o StateCVF,CVF_AE_W_O_STATEADAPTIVECVF,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene4_CVF_AE_W_O_STATEADAPTIVECVF_run024.mat,feasible_clean_median,51.789786767966,334.698613870519,1,0,0,0,0,0,0,14.2036194450967,18,0,0.0904522613065327,1.15079162684717
ablation,4,w/o Sparse,CVF_AE_W_O_SPARSEPRESERVATION,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene4_CVF_AE_W_O_SPARSEPRESERVATION_run016.mat,feasible_clean_median,1.75492456997699,378.852569855822,1,0,0,0,0,0,0,16.3367231302495,18,0,0.21105527638191,1.27162911559273
ablation,4,w/o Init,CVF_AE_W_O_INIT,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene4_CVF_AE_W_O_INIT_run013.mat,feasible_clean_median,0,324.403662383524,1,0,0,0,0,0,0,12.484098432512,18,0,0.0552763819095477,1.19515113392015
ablation,4,Base-AE,BASE_AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_formal_ablation_conservative_20260622_194947,scene4_BASE_AE_run018.mat,infeasible_min_violation_median,271.921791879115,1319.39673782232,0,5,0,0,0,0,0,15.6860413167176,18,0,0,1.34045587425368
