FigureSet,Scene,DisplayName,Algorithm,Run,SelectionTier,SelectionDistance,BestFitness,Feasible,Violation,VisualReviewFlag,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,MeanZ,MaxZ,HighAltitudeFrac,BoundaryHugFrac,DetourRatio
extended,3,CVF-AE,CVF-AE,5,feasible_clean_median,0.771957655482481,342.050794133356,1,0,0,0,0,0,0,14.8152143344726,18.2012195052372,0,0.0351758793969849,1.20277801206592
extended,3,CPO,CPO,18,feasible_flagged_median,0.0677161966775088,338.186431880294,1,0,1,0,1,0,1,21.8651916784117,23.5049205588116,0,0.954773869346734,1.36885623659815
extended,3,DBO,DBO,19,feasible_flagged_median,0.0719017089824661,373.771322824686,1,0,1,0,1,0,1,12.9213180944121,20.4981515329088,0,0.939698492462312,1.38778909082269
extended,3,GDSAO,GDSAO,22,feasible_flagged_median,0.215674546586001,345.626744103901,1,0,1,0,1,0,1,10.2439005082723,18,0,0.874371859296482,1.36321572852016
extended,3,MSCSO,MSCSO,2,feasible_clean_median,1.68410552998353,338.363222431784,1,0,0,0,0,0,0,21.5364915034061,22.3335276729874,0,0.457286432160804,1.37813100447041
extended,3,ERIME,ERIME,5,feasible_clean_median,18.6088268569745,331.522109315885,1,1.59872115546023e-14,0,0,0,0,0,9.88592244859452,18,0,0.0703517587939698,1.19726071213493
