Algorithm,AverageRank
CVF-AE,1.66666666666667
CVF-AE-w/o-SparsePreservation,2.66666666666667
CVF-AE-w/o-CVF,2.66666666666667
CVF-AE-w/o-StateAdaptiveCVF,3
CVF-AE-w/o-Init,5
Base-AE,6
