Scene,InternalScene,Algorithm,Mean,Std,Feasibility,MeanViolation,AvgNEvals,SelectedRank,VisualReviewFlagRate,HighAltitudeFlagRate,BoundaryHugFlagRate,AlgorithmOrder
1,1,AE,656.197238933963,325.911264212618,0.6,1.26666666666667,9030,7,0.633333333333333,0.633333333333333,0,1
1,1,PSO,423.34905535009,216.231282580491,0.9,0.333333333333335,9030,6,0.666666666666667,0.466666666666667,0.1,2
1,1,GWO,335.782620422041,32.9433062545141,0.966666666666667,0.0333333333333333,9030,4,0.8,0,0.466666666666667,3
1,1,HHO,361.745405168329,71.7330439135099,0.966666666666667,0.0666666666666667,11482.9,5,0.533333333333333,0.233333333333333,0.133333333333333,4
1,1,ERIME,318.54400426934,15.411360815182,1,4.44089209850063e-15,9473.8,3,0.666666666666667,0.366666666666667,0.133333333333333,5
1,1,MSCSO,307.858027766821,14.8040989320095,1,0,21453.7666666667,2,0.4,0.133333333333333,0.0666666666666667,6
1,1,CVF-AE,298.52859264765,2.62109732744077,1,0,9569.53333333333,1,0,0,0,7
2,2,AE,1627.23243383038,330.262237114271,0,7.30143604043569,9030,7,0.0333333333333333,0.0333333333333333,0,1
2,2,PSO,659.558691270774,303.228871304922,0.433333333333333,1.8,9030,6,0.7,0.633333333333333,0.133333333333333,2
2,2,GWO,341.16925303279,41.4608355588134,1,0,9030,4,1,0.166666666666667,0.866666666666667,3
2,2,HHO,357.922277321768,149.359786320396,0.966666666666667,0.133333333333333,11431.9333333333,5,0.8,0.466666666666667,0.166666666666667,4
2,2,ERIME,320.877524685652,24.5105649519012,1,3.5527136788005e-15,9479.7,3,0.766666666666667,0.266666666666667,0.433333333333333,5
2,2,MSCSO,295.013830612364,19.1300730851302,1,0,21449.8,1,0.566666666666667,0.5,0,6
2,2,CVF-AE,301.193356505197,2.82531100483128,1,0,9552.7,2,0,0,0,7
3,4,AE,1680.44680735679,208.681861643471,0,7.66666666666667,9030,7,0,0,0,1
3,4,PSO,1303.46404060435,388.297882328289,0.0333333333333333,5.6,9030,6,0.1,0,0,2
3,4,GWO,673.278573478642,376.600243256583,0.533333333333333,1.7,9030,4,1,0,1,3
3,4,HHO,929.546817705977,437.416209462421,0.233333333333333,3.33333333333333,11507.1333333333,5,1,0,1,4
3,4,ERIME,356.492803085991,24.6009750032773,1,4.91458725567403e-15,9484.6,2,0.933333333333333,0.0333333333333333,0.866666666666667,5
3,4,MSCSO,449.955003794996,198.882022078085,0.833333333333333,0.433333333333333,21460.7333333333,3,0.966666666666667,0.0333333333333333,0.833333333333333,6
3,4,CVF-AE,350.765787688673,23.327180186935,1,0,9362.46666666667,1,0.3,0,0.3,7
