Algorithm,AverageRank,AverageMeanFitness,AverageFeasibility,EngineeringFlagRate,AlgorithmOrder
AE,7,1321.29216004038,0.2,0.222222222222222,1
PSO,6,795.457262408403,0.455555555555556,0.488888888888889,2
GWO,4,450.076815644491,0.833333333333333,0.933333333333333,3
HHO,5,549.738166732025,0.722222222222222,0.777777777777778,4
ERIME,2.66666666666667,331.971444013661,1,0.788888888888889,5
MSCSO,2,350.942287391394,0.944444444444445,0.644444444444445,6
CVF-AE,1.33333333333333,316.82924561384,1,0.1,7
