FunctionId,Dimension,Algorithm,RunId,Seed,BestObjective,Feasible,TotalViolation,NormalizedViolation,FEs,FirstFeasibleFE,Runtime,CVFTriggers,CVFSuccesses,CVFExtraFEs
14,10,AE,3,21274627,4.19432547411291,0,0.835397225098202,0.408078609514151,3000,NaN,0.1644906,0,0,0
14,10,CVF-AE,1,21274625,3.69396136173171,0,0.811740660548762,0.416151111992831,3000,NaN,0.1679306,272,26,272
14,10,CVF-AE,2,21274626,3.62789076774861,0,0.764213091165784,0.427364358871596,3000,NaN,0.1843959,272,17,272
14,10,CVF-AE,3,21274627,4.30283181418578,0,1.02017897406451,0.425071282424073,3000,NaN,0.1580547,272,16,272
14,10,CVF-AE-w/o-CVF,1,21274625,4.00312484016593,0,0.521050694981587,0.289756717716709,3000,NaN,0.1703302,0,0,0
14,10,CVF-AE-w/o-CVF,2,21274626,4.35533936113764,0,0.528123784161552,0.332840480685712,3000,NaN,0.1798179,0,0,0
14,10,CVF-AE-w/o-CVF,3,21274627,4.19432547411291,0,0.835397225098202,0.408078609514151,3000,NaN,0.1514318,0,0,0
14,10,DE,1,21274625,3.9883005492917,0,0.00011875915308579,6.87496987436691e-05,3000,NaN,0.1172761,0,0,0
14,10,DE,2,21274626,4.0119619596682,0,5.46011038378147e-05,4.60106149789126e-06,3000,NaN,0.1750261,0,0,0
14,10,DE,3,21274627,4.01638133265812,0,0.000447605433482767,0.000397289504551417,3000,NaN,0.151646,0,0,0
14,10,PSO,1,21274625,3.74962389126367,1,0,0,3000,2035,0.0909406,0,0,0
14,10,PSO,2,21274626,3.95524224049196,0,0.00014538878175574,9.53705871874855e-05,3000,NaN,0.0935233,0,0,0
14,10,PSO,3,21274627,3.93220299779633,1,0,0,3000,1782,0.0851062,0,0,0
18,10,AE,1,21278625,115.273899783853,0,368.385994724234,0.33303198997349,3000,NaN,0.1556345,0,0,0
18,10,AE,2,21278626,897.927102739736,0,1049.38064475691,0.333227484390708,3000,NaN,0.1671783,0,0,0
18,10,AE,3,21278627,84.0990525685361,0,44.7386057759437,0.330868136683707,3000,NaN,0.2069416,0,0,0
18,10,CVF-AE,1,21278625,143.63409261235,0,519.980801367538,0.333119787110352,3000,NaN,0.1650749,272,40,272
18,10,CVF-AE,2,21278626,1153.65387158124,0,1224.53755622097,0.642989068918031,3000,NaN,0.2227561,272,43,272
18,10,CVF-AE,3,21278627,92.5649073194753,0,91.4848684726654,0.332123212145344,3000,NaN,0.1794453,272,28,272
18,10,CVF-AE-w/o-CVF,1,21278625,115.273899783853,0,368.385994724234,0.33303198997349,3000,NaN,0.1949062,0,0,0
18,10,CVF-AE-w/o-CVF,2,21278626,897.927102739736,0,1049.38064475691,0.333227484390708,3000,NaN,0.179509,0,0,0
18,10,CVF-AE-w/o-CVF,3,21278627,84.0990525685361,0,44.7386057759437,0.330868136683707,3000,NaN,0.2051072,0,0,0
18,10,DE,1,21278625,93.5405306330835,0,4724.93494557285,0.333309819089202,3000,NaN,0.1833456,0,0,0
18,10,DE,2,21278626,219.25,0,739.654333089329,0.333183180673826,3000,NaN,0.1267459,0,0,0
18,10,DE,3,21278627,581.269596890978,0,277.623275102866,0.332933590635863,3000,NaN,0.1404777,0,0,0
18,10,PSO,1,21278625,69.1887871960552,0,36.8204650340061,0.330342758595903,3000,NaN,0.0855664,0,0,0
18,10,PSO,2,21278626,659.04153075728,0,26.1271778210706,0.329134198613905,3000,NaN,0.0817408,0,0,0
18,10,PSO,3,21278627,51.6312454597103,0,0.141320831238839,0.099228330354234,3000,NaN,0.0854533,0,0,0
