FunctionId,Dimension,Algorithm,FeasibleRate,MeanFeasibleObjective,MedianFeasibleObjective,MeanViolation,MedianViolation,MeanFirstFeasibleFE,MeanRuntime,MeanFEs,MeanCVFTriggers,MeanCVFSuccesses
1,10,AE,1,2.87127036848959,2.47429824464858,0,0,2.33333333333333,0.239969633333333,3000,0,0
1,10,CVF-AE,1,2.14348244934547,1.98916669527874,0,0,2.33333333333333,0.205326666666667,3000,3.33333333333333,2.66666666666667
1,10,CVF-AE-w/o-CVF,1,2.87127036848959,2.47429824464858,0,0,2.33333333333333,0.1970046,3000,0,0
1,10,DE,1,98.2226295851882,116.427241807587,0,0,2.33333333333333,0.124268933333333,3000,0,0
1,10,PSO,1,1.19955138015416,0.80303271446994,0,0,2.33333333333333,0.0968788333333333,3000,0,0
3,10,AE,0,NaN,NaN,0.0164006561376132,0.0105631520952665,NaN,0.163927666666667,3000,0,0
3,10,CVF-AE,0,NaN,NaN,0.0154774359481231,0.016780362309425,NaN,0.171427566666667,3000,272,141.666666666667
3,10,CVF-AE-w/o-CVF,0,NaN,NaN,0.0164006561376132,0.0105631520952665,NaN,0.1583868,3000,0,0
3,10,DE,0,NaN,NaN,0.0201634151727485,0.0148463294429462,NaN,0.2061518,3000,0,0
3,10,PSO,0.333333333333333,64523.5655443043,64523.5655443043,0.00204737281872921,8.86409435505442e-05,2352,0.138884766666667,3000,0,0
6,10,AE,0,NaN,NaN,3.3293124091817,3.35376213732602,NaN,0.172032866666667,3000,0,0
6,10,CVF-AE,0,NaN,NaN,2.47664736331732,2.43987626739024,NaN,0.222142666666667,3000,272,116.666666666667
6,10,CVF-AE-w/o-CVF,0,NaN,NaN,3.3293124091817,3.35376213732602,NaN,0.1926653,3000,0,0
6,10,DE,0,NaN,NaN,3.77846279693884,3.27799609333643,NaN,0.1604908,3000,0,0
6,10,PSO,0,NaN,NaN,6.67913869249624,6.17177227332813,NaN,0.1412774,3000,0,0
14,10,AE,0,NaN,NaN,0.628190568080447,0.528123784161552,NaN,0.190236,3000,0,0
14,10,CVF-AE,0,NaN,NaN,0.865377575259685,0.811740660548762,NaN,0.170127066666667,3000,272,19.6666666666667
14,10,CVF-AE-w/o-CVF,0,NaN,NaN,0.628190568080447,0.528123784161552,NaN,0.1671933,3000,0,0
14,10,DE,0,NaN,NaN,0.000206988563468791,0.00011875915308579,NaN,0.147982733333333,3000,0,0
14,10,PSO,0.666666666666667,3.84091344453,3.84091344453,4.84629272519133e-05,0,1908.5,0.0898567,3000,0,0
18,10,AE,0,NaN,NaN,487.50174841903,368.385994724234,NaN,0.1765848,3000,0,0
18,10,CVF-AE,0,NaN,NaN,612.001075353725,519.980801367538,NaN,0.1890921,3000,272,37
18,10,CVF-AE-w/o-CVF,0,NaN,NaN,487.50174841903,368.385994724234,NaN,0.193174133333333,3000,0,0
18,10,DE,0,NaN,NaN,1914.07085125501,739.654333089329,NaN,0.150189733333333,3000,0,0
18,10,PSO,0,NaN,NaN,21.0296545621052,26.1271778210706,NaN,0.0842535,3000,0,0
