Scene,Algorithm,Mean,Std,Rank,Feasibility,AvgRuntime,AvgNEvals,AvgFirstFeasibleIter,AvgRepairCount,AvgRepairSuccessCount,AvgViabilityFieldCount,AvgViabilityFieldSuccessCount
1,AE,656.197238933963,325.911264212618,7,0.6,5.78694361666667,9030,NaN,NaN,NaN,0,0
1,PSO,423.34905535009,216.231282580491,6,0.9,8.91577616,9030,NaN,NaN,NaN,0,0
1,GWO,335.782620422041,32.9433062545141,4,0.966666666666667,9.69150564,9030,NaN,NaN,NaN,0,0
1,HHO,361.745405168329,71.7330439135099,5,0.966666666666667,11.06092794,11482.9,NaN,NaN,NaN,0,0
1,ERIME,318.54400426934,15.411360815182,3,1,9.96300612333333,9473.8,NaN,NaN,NaN,0,0
1,MSCSO,307.858027766821,14.8040989320095,2,1,15.56738689,21453.7666666667,NaN,NaN,NaN,0,0
1,CVF-AE,298.52859264765,2.62109732744071,1,1,9.55750100333333,9569.53333333333,2.9,514.533333333333,144.966666666667,25,22.4
2,AE,1627.23243383038,330.262237114271,7,0,6.92570382666667,9030,NaN,NaN,NaN,0,0
2,PSO,659.558691270774,303.228871304922,6,0.433333333333333,6.91786605333333,9030,NaN,NaN,NaN,0,0
2,GWO,341.16925303279,41.4608355588134,4,1,6.96686582666666,9030,NaN,NaN,NaN,0,0
2,HHO,357.922277321768,149.359786320396,5,0.966666666666667,8.13175428,11431.9333333333,NaN,NaN,NaN,0,0
2,ERIME,320.877524685652,24.5105649519012,3,1,7.39520369333333,9479.7,NaN,NaN,NaN,0,0
2,MSCSO,295.013830612364,19.1300730851301,1,1,16.93671892,21449.8,NaN,NaN,NaN,0,0
2,CVF-AE,301.193356505197,2.82531100483129,2,1,9.94935474666667,9552.7,5.33333333333333,510.333333333333,311.266666666667,12.3666666666667,9.5
4,AE,1680.44680735679,208.681861643472,7,0,7.00984113,9030,NaN,NaN,NaN,0,0
4,PSO,1303.46404060435,388.297882328289,6,0.0333333333333333,6.78359332,9030,NaN,NaN,NaN,0,0
4,GWO,673.278573478643,376.600243256583,4,0.533333333333333,6.55522579666667,9030,NaN,NaN,NaN,0,0
4,HHO,929.546817705977,437.416209462422,5,0.233333333333333,7.93473370333333,11507.1333333333,NaN,NaN,NaN,0,0
4,ERIME,356.492803085991,24.6009750032772,2,1,7.42613041666667,9484.6,NaN,NaN,NaN,0,0
4,MSCSO,449.955003794996,198.882022078085,3,0.833333333333333,14.8429389366667,21460.7333333333,NaN,NaN,NaN,0,0
4,CVF-AE,350.765787688673,23.327180186935,1,1,8.75150322333333,9362.46666666667,0,248.7,174.2,83.7666666666667,56.4
