Scene,Algorithm,RunFile,BestFitness,Feasible,Violation,MeanZ,MaxZ,MinZ,StdZ,HighThreshold,HighAltitudeFrac,VeryHighThreshold,VeryHighAltitudeFrac,PathLength,DetourRatio,BoundaryBand,MinBoundaryDist,MeanBoundaryDist,BoundaryHugFrac,ControlPointBoundaryHugFrac,NumControlPoints,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,VisualReviewFlag
1,CVF-AE,scene1_CVF-AE_run001.mat,307.042124984532,1,0,15.1641075843889,18,12,0.896939597777745,24,0,32,0,136.323361334461,1.06986939628169,8,6.21695331015468,21.8715626766833,0.0402010050251256,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run002.mat,308.213329360056,1,0,15.7213157791991,18,12,0.893578821397032,24,0,32,0,134.613286914349,1.05644868636424,8,7.92655548200538,24.6064326414389,0.0050251256281407,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run003.mat,309.972602586912,1,0,14.5873902519797,18,12,0.765510548839633,24,0,32,0,134.605882604277,1.05639057714019,8,7.06909515714773,25.4305293727454,0.0201005025125628,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run004.mat,308.973089946357,1,0,15.9231213716856,18,12,1.3575878336885,24,0,32,0,133.723254416268,1.04946368744643,8,7.98835597780199,23.6752300155128,0.0050251256281407,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run005.mat,309.748391197437,1,0,15.3480741653569,18.025487605434,12,1.19253880339638,24,0,32,0,135.533073542484,1.06366719649279,8,7.16272025721685,24.8867420940268,0.0150753768844221,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run006.mat,308.778886201654,1,0,15.3079919913617,18,12,1.1299461772831,24,0,32,0,134.058635866262,1.05209577006174,8,9.06464080775328,23.6439979075757,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run007.mat,308.271746845049,1,0,15.6251457078399,18,12,1.1166414169558,24,0,32,0,133.569414174695,1.04825634510419,8,9.09700415316627,23.913918546548,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run008.mat,307.079369062383,1,0,15.101033266106,18,12,1.02919351649852,24,0,32,0,133.844288343491,1.0504135649537,8,8.45948152844775,23.519123980662,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run009.mat,307.028630557343,1,0,14.9254670268994,18,12,1.19127772859975,24,0,32,0,135.710268598789,1.06505782804748,8,6.25644305698856,23.0483726928356,0.0351758793969849,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run010.mat,307.855651142232,1,0,15.5370145936024,18,12,1.12490064169014,24,0,32,0,133.719626285548,1.04943521377922,8,8.14775747975659,23.4223282795297,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run011.mat,306.709375707825,1,0,14.9633128838968,18,12,1.29233117480776,24,0,32,0,138.168320492001,1.08434868523642,8,7.16273469610988,20.6400859666175,0.0251256281407035,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run012.mat,312.130740688588,1,0,15.8604742008743,18,12,0.972323583704175,24,0,32,0,135.91472452744,1.06666240365954,8,7.40881791776812,22.0200023230289,0.0150753768844221,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run013.mat,298.981504703706,1,0,13.4704921856757,18,12,1.58457661763444,24,0,32,0,135.77114497551,1.06553558748483,8,5.95755509884047,21.2464452162975,0.050251256281407,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run014.mat,308.087315715805,1,0,15.6236427936624,18,12,0.89875443898522,24,0,32,0,133.794687746561,1.05002429813859,8,8.47997700005595,23.6931767910005,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run015.mat,308.064354858073,1,0,15.5134534717015,18,12,1.33686852997526,24,0,32,0,133.29226761359,1.04608129145888,8,8.06626057267704,23.8338787513964,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run016.mat,304.125926396463,1,0,14.5499673344683,18,12,1.15499481400233,24,0,32,0,135.368733568683,1.06237745197039,8,7.32415838475578,24.0002207545243,0.0150753768844221,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run017.mat,307.969561906539,1,0,15.7039409561256,18,12,1.0146500500543,24,0,32,0,133.375569352679,1.04673504574161,8,9.15472003413101,23.8064497153731,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run018.mat,305.30860554086,1,0,15.1822231305636,18,12,1.06152314901582,24,0,32,0,134.487526572956,1.05546171583178,8,7.85215191560255,22.4363412306955,0.0050251256281407,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run019.mat,309.450315537774,1,0,15.4033601662875,18,12,1.1494650113412,24,0,32,0,137.840212151199,1.08177368217713,8,7.29745308326949,20.4473884428136,0.0150753768844221,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run020.mat,307.64120011688,1,0,15.3091448961248,18,12,1.20791436457485,24,0,32,0,133.653387843401,1.04891537270858,8,8.58603915756237,23.3740761346735,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run021.mat,296.093879155871,1,0,13.9416249115725,18,12,0.914471838301958,24,0,32,0,135.93946928417,1.06685660117408,8,9.06915631228196,23.4713395473152,0,0,8,0,0,0,0,0
