Scene,Baseline,Source,CVFN,BaselineN,CVFMean,CVFStd,CVFMedian,BaselineMean,BaselineStd,BaselineMedian,RawP,RawSignificant,RankSumStatistic,CliffsDeltaLowerBetter,EffectMagnitude,SceneHolmSignificant,SceneHolmResult,SceneHolmP,GlobalHolmP,GlobalHolmSignificant,GlobalHolmResult
1,AE,formal-main,30,30,298.137864539111,2.78208655359356,298.328759812928,810.325824286047,328.282889753163,909.553846462352,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
1,PSO,formal-main,30,30,298.137864539111,2.78208655359356,298.328759812928,397.508683252934,183.827335742191,331.877342713368,6.5277364574957e-08,1,549,0.813333333333333,large,1,+,1.95832093724871e-07,1.04443783319931e-06,1,+
1,GWO,formal-main,30,30,298.137864539111,2.78208655359356,298.328759812928,345.369451984251,81.8961556697385,325.141649204475,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
1,WOA,formal-main,30,30,298.137864539111,2.78208655359356,298.328759812928,611.09748925196,216.529920450129,546.344483876119,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
1,HHO,formal-main,30,30,298.137864539111,2.78208655359356,298.328759812928,450.557517163338,198.362819241478,354.314910387311,2.60985278795585e-10,1,487,0.951111111111111,large,1,+,1.04394111518234e-09,4.69773501832053e-09,1,+
1,DBO,formal-main,30,30,298.137864539111,2.78208655359356,298.328759812928,344.882678794258,19.9702827242648,341.37740662754,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
1,CPO,formal-main,30,30,298.137864539111,2.78208655359356,298.328759812928,298.359427916365,5.57943310837688,297.472560604099,0.773119942467523,0,895,0.0444444444444444,negligible,0,=,0.773119942467523,1,0,=
1,GDSAO,recent-improved,30,30,298.137864539111,2.78208655359356,298.328759812928,315.75422251274,8.29126014009971,319.138890367482,1.09366956310991e-10,1,478,0.971111111111111,large,1,+,5.46834781554953e-10,2.07797216990882e-09,1,+
1,ERIME,recent-improved,30,30,298.137864539111,2.78208655359356,298.328759812928,322.989264095134,12.0173974372193,318.767859414017,6.69551896550018e-11,1,473,0.982222222222222,large,1,+,4.01731137930011e-10,1.33910379310004e-09,1,+
1,MSCSO,recent-improved,30,30,298.137864539111,2.78208655359356,298.328759812928,314.345331601272,19.2806929297655,308.916660023218,2.37682005045451e-07,1,565,0.777777777777778,large,1,+,4.75364010090902e-07,3.32754807063632e-06,1,+
2,AE,formal-main,30,30,301.201825136219,2.901869724122,301.143642234588,1668.40423813825,421.846106869855,1791.75356563642,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
2,PSO,formal-main,30,30,301.201825136219,2.901869724122,301.143642234588,729.948994581617,434.631052838891,772.251786380833,9.21126879371652e-05,1,650,0.588888888888889,large,1,+,0.000552676127622991,0.00101323956730882,1,+
2,GWO,formal-main,30,30,301.201825136219,2.901869724122,301.143642234588,341.161120497287,38.8515934412664,347.280868978708,0.000238848457069707,1,666,0.553333333333333,large,1,+,0.00119424228534853,0.00238848457069707,1,+
2,WOA,formal-main,30,30,301.201825136219,2.901869724122,301.143642234588,915.903406074239,396.628764364027,1003.90933406202,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
2,HHO,formal-main,30,30,301.201825136219,2.901869724122,301.143642234588,395.834300530036,180.517182230101,350.349525871634,0.000268057096804918,1,668,0.548888888888889,large,1,+,0.00119424228534853,0.00241251387124426,1,+
2,DBO,formal-main,30,30,301.201825136219,2.901869724122,301.143642234588,337.786717755373,29.1339905205831,341.415217560829,2.19588553252214e-07,1,564,0.78,large,1,+,1.53711987276549e-06,3.2938282987832e-06,1,+
2,CPO,formal-main,30,30,301.201825136219,2.901869724122,301.143642234588,278.119562731851,1.87675641582887,277.61496225716,3.01985935916215e-11,1,1365,-1,large,1,-,3.01985935916215e-10,9.05957807748645e-10,1,-
2,GDSAO,recent-improved,30,30,301.201825136219,2.901869724122,301.143642234588,307.067485878931,18.8775766793904,298.7485926285,0.620403720627753,0,949,-0.0755555555555556,negligible,0,=,0.620403720627753,1,0,=
2,ERIME,recent-improved,30,30,301.201825136219,2.901869724122,301.143642234588,316.19319183287,28.5245034056777,303.803159686993,0.297271689089307,0,844,0.157777777777778,small,0,=,0.594543378178614,1,0,=
2,MSCSO,recent-improved,30,30,301.201825136219,2.901869724122,301.143642234588,291.167989109054,15.7347313951818,285.221654330753,0.000654864616854615,1,1146,-0.513333333333333,large,1,-,0.00196459385056385,0.00523891693483692,1,-
4,AE,formal-main,30,30,349.227029913289,19.8953883191019,342.822751788839,1653.27054260566,200.900207932275,1622.24092300628,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
4,PSO,formal-main,30,30,349.227029913289,19.8953883191019,342.822751788839,1295.45871625515,382.020606804983,1321.25158805015,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
4,GWO,formal-main,30,30,349.227029913289,19.8953883191019,342.822751788839,608.45708450729,333.179590508335,427.996155031637,3.57080087879163e-06,1,601,0.697777777777778,large,1,+,2.14248052727498e-05,4.64204114242912e-05,1,+
4,WOA,formal-main,30,30,349.227029913289,19.8953883191019,342.822751788839,1485.67428395965,426.39000079659,1496.09322227192,3.01985935916215e-11,1,465,1,large,1,+,3.01985935916215e-10,9.05957807748645e-10,1,+
4,HHO,formal-main,30,30,349.227029913289,19.8953883191019,342.822751788839,898.343987970181,469.467061570051,807.487484865642,8.48477290014804e-09,1,525,0.866666666666667,large,1,+,5.93934103010363e-08,1.44241139302517e-07,1,+
4,DBO,formal-main,30,30,349.227029913289,19.8953883191019,342.822751788839,376.304061835975,15.9951175210004,373.843224533668,1.01876893524271e-05,1,616,0.664444444444444,large,1,+,5.09384467621355e-05,0.000122252272229125,1,+
4,CPO,formal-main,30,30,349.227029913289,19.8953883191019,342.822751788839,519.879650912483,313.206082734112,339.642241058022,0.363222312552739,0,853,0.137777777777778,negligible,0,=,0.933562930230825,1,0,=
4,GDSAO,recent-improved,30,30,349.227029913289,19.8953883191019,342.822751788839,346.847441570472,3.81752402471022,345.842418650487,0.311187643410275,0,846,0.153333333333333,small,0,=,0.933562930230825,1,0,=
