Scene,NumAlgorithms,TotalSamples,MinSamplesPerAlgorithm,MaxSamplesPerAlgorithm,ChiSquare,PValue,Significant
1,6,180,30,30,132.871995089012,5.84722740412371e-27,1
2,6,180,30,30,98.4783548189073,1.10583070333857e-19,1
4,6,180,30,30,81.4919091467158,4.08916737821023e-16,1
