Scene,Algorithm,RunFile,BestFitness,Feasible,Violation,MeanZ,MaxZ,MinZ,StdZ,HighThreshold,HighAltitudeFrac,VeryHighThreshold,VeryHighAltitudeFrac,PathLength,DetourRatio,BoundaryBand,MinBoundaryDist,MeanBoundaryDist,BoundaryHugFrac,ControlPointBoundaryHugFrac,NumControlPoints,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,VisualReviewFlag
1,CVF_AE_W_O_INIT,scene1_CVF_AE_W_O_INIT_run019.mat,341.938899548821,1,0,27.5653562874074,31.1485914581947,12,4.22266723889793,24,0.809090909090909,32,0,144.03830355803,1.13041646978604,8,5.31989176905453,22.8523454861125,0.0653266331658292,0.333333333333333,8,1,0,0,0,1
2,BASE_AE,scene2_BASE_AE_run013.mat,1128.47542793498,0,3,20.7723374711217,24.927693961169,12,2.40840168938725,24,0.122727272727273,31,0,241.165912538241,1.89267655026481,8,7.41064597090437,19.0832453857348,0.160804020100503,0.5,8,0,0,1,0,1
2,BASE_AE,scene2_BASE_AE_run005.mat,1641.53584531513,0,7,23.3038964351161,26.5483463154766,12,3.21478673552125,24,0.55,31,0,193.634259867527,1.51964686518887,8,10.9335047406545,26.7889517002932,0,0.166666666666667,8,1,0,0,0,1
2,BASE_AE,scene2_BASE_AE_run008.mat,1813.35685841101,0,9,23.1478442441475,26.8362957774883,12,3.52691802622504,24,0.554545454545455,31,0,156.133237578127,1.22533783639173,8,11.5592797818976,37.7814967199447,0,0,8,1,0,0,0,1
2,CVF_AE_W_O_INIT,scene2_CVF_AE_W_O_INIT_run009.mat,280.191058136765,1,0,27.5560754431619,29.5614019342999,12,3.3671133557914,24,0.877272727272727,31,0,141.086407883349,1.10724991335402,8,9.843267643774,22.1113200189233,0,0,8,1,0,0,0,1
2,CVF_AE_W_O_INIT,scene2_CVF_AE_W_O_INIT_run003.mat,287.380501834986,1,0,28.567613073792,31.5463960598835,12,3.33436360087421,24,0.904545454545455,31,0.109090909090909,145.558647401216,1.14234816904674,8,10.3223128603887,22.2758911398674,0,0,8,1,0,0,0,1
2,CVF_AE_W_O_INIT,scene2_CVF_AE_W_O_INIT_run016.mat,316.162523544018,1,0,26.8187076391344,30.4294526766823,12,3.94570448093264,24,0.827272727272727,31,0,151.271471282264,1.18718256409723,8,3.60152797641618,20.9402304129774,0.085427135678392,0.333333333333333,8,1,0,0,0,1
4,CVF_AE,scene4_CVF_AE_run022.mat,365.681989937874,1,0,16.1643638311503,18,11.8279348879259,1.65575293721117,24,0,25,0,175.365094450956,1.37626996497554,8,0.397232743705985,4.23806657643564,0.909547738693467,0.833333333333333,8,0,1,0,1,1
4,CVF_AE,scene4_CVF_AE_run025.mat,369.004663864695,1,0,16.685006636507,22.5062390294762,10.2143135087323,3.27500702976476,24,0,25,0,177.131144333905,1.39012997182673,8,1.40671494625398,3.6714559774718,0.939698492462312,1,8,0,1,0,1,1
4,CVF_AE,scene4_CVF_AE_run028.mat,370.171826627938,1,0,15.1236974627705,18,12,1.67597502145553,24,0,25,0,174.191616181981,1.36706047604504,8,1.03230665406406,4.66624293980524,0.919597989949749,1,8,0,1,0,1,1
