Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,MeanZ,MeanMaxZ,MeanHighAltitudeFrac,MeanVeryHighAltitudeFrac,MeanDetourRatio,MeanBoundaryDist,MeanBoundaryHugFrac,MeanControlPointBoundaryHugFrac,HighAltitudeFlagRate,BoundaryHugFlagRate,ExcessiveDetourFlagRate,ControlPointEdgeFlagRate,VisualReviewFlagRate
1,BASE_AE,30,0.566666666666667,711.505075985062,23.8627831329443,28.4268543276477,0.505,0.02,1.28950315327986,32.0844909106559,0.0067001675041876,0.0111111111111111,0.466666666666667,0,0,0,0.466666666666667
1,CVF_AE_W_O_CVF,30,1,306.352170764187,15.0171917773038,18.0322250467554,0,0,1.0576554884437,23.3617824536511,0.0164154103852596,0.0722222222222222,0,0,0,0,0
1,CVF_AE_W_O_INIT,30,1,316.794892169996,19.7427787295066,22.5067014265064,0.159090909090909,0.0133333333333333,1.11210450613623,21.6166008825785,0.0708542713567839,0.172222222222222,0.166666666666667,0,0,0.0333333333333333,0.166666666666667
1,CVF_AE_W_O_SPARSEPRESERVATION,30,1,307.043992501381,15.1170122413751,18.0696004319093,0,0,1.05810353635306,22.9499971641511,0.0170854271356784,0.0666666666666667,0,0,0,0,0
1,CVF_AE_W_O_STATEADAPTIVECVF,30,1,298.13234290774,13.3567820679692,18.0034568112412,0,0,1.06709967244748,22.4175053965804,0.0202680067001675,0.0944444444444444,0,0,0,0,0
1,CVF_AE,30,1,305.85480966786,14.8320249568979,18.0156904862427,0,0,1.06278792510379,22.5765692083743,0.0222780569514238,0.0777777777777778,0,0,0,0,0
2,BASE_AE,30,0,1586.51120910305,19.9969266646641,22.7397022270552,0.055,0,1.29442894120145,35.2089687893612,0.00770519262981575,0.0444444444444444,0.0666666666666667,0,0.0333333333333333,0,0.1
2,CVF_AE_W_O_CVF,30,1,303.223587830995,15.8369566006096,18.2064940567089,0,0,1.15995077876393,18.6528579281084,0.136180904522613,0.327777777777778,0,0,0,0,0
2,CVF_AE_W_O_INIT,30,1,312.326288429538,18.9526079368699,21.5268638368167,0.110151515151515,0.00363636363636364,1.17183289500358,22.7097539422608,0.0509212730318258,0.194444444444444,0.1,0,0,0,0.1
2,CVF_AE_W_O_SPARSEPRESERVATION,30,1,302.665782215398,15.7828055405614,18.0601099030449,0,0,1.1572331190937,19.2320050108634,0.105695142378559,0.266666666666667,0,0,0,0,0
2,CVF_AE_W_O_STATEADAPTIVECVF,30,1,301.513071629794,16.1418689000528,18.3831935219421,0,0,1.15843236555161,19.9508063297107,0.0988274706867672,0.272222222222222,0,0,0,0,0
2,CVF_AE,30,1,303.210829970273,15.7606582511923,18.1048441821664,0,0,1.16263302413813,18.5164435597117,0.127638190954774,0.294444444444444,0,0,0,0,0
4,BASE_AE,30,0,1646.41399618259,16.9709804315927,18.7945609713574,0,0,1.23631603052846,41.5601015412606,0,0,0,0,0,0,0
4,CVF_AE_W_O_CVF,30,1,355.41177634522,14.7202638284392,19.3114171197176,0.00272727272727273,0,1.24838658878557,17.9965926423939,0.338190954773869,0.494444444444445,0,0.233333333333333,0,0.233333333333333,0.233333333333333
4,CVF_AE_W_O_INIT,30,0.666666666666667,587.230842368633,12.7446757237101,18.6976429570675,0,0,1.25273169684257,27.511174221948,0.0489112227805695,0.277777777777778,0,0,0,0,0
4,CVF_AE_W_O_SPARSEPRESERVATION,30,1,369.710693950424,15.3802197125277,18.534429460267,0,0,1.30002800225687,12.4705943162153,0.582747068676717,0.7,0,0.533333333333333,0,0.533333333333333,0.533333333333333
4,CVF_AE_W_O_STATEADAPTIVECVF,30,1,359.229189694341,14.6654686902752,18.4640634389308,0,0,1.2710460621121,14.5916623014767,0.510050251256281,0.588888888888889,0,0.5,0,0.5,0.5
4,CVF_AE,30,1,349.340473513533,15.0471583467451,19.2487611851648,0,0,1.24049333789866,18.1808988982764,0.334003350083752,0.511111111111111,0,0.266666666666667,0,0.266666666666667,0.266666666666667
