Scene,Algorithm,RunFile,BestFitness,Feasible,Violation,MeanZ,MaxZ,MinZ,StdZ,HighThreshold,HighAltitudeFrac,VeryHighThreshold,VeryHighAltitudeFrac,PathLength,DetourRatio,BoundaryBand,MinBoundaryDist,MeanBoundaryDist,BoundaryHugFrac,ControlPointBoundaryHugFrac,NumControlPoints,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,VisualReviewFlag
2,AE,scene2_AE_run020.mat,2082.21755405446,0,9,24.9395823612185,30.9698561567328,12,3.29920034033725,24,0.577272727272727,32,0,176.370630449409,1.38416143846235,8,29.9366989943151,39.4826996542349,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run016.mat,2085.8431833135,0,9,23.3483413737604,26.0069727922314,12,3.06280861432082,24,0.6,32,0,163.374543847368,1.28216780222243,8,28.2414972410257,43.6384072523735,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run024.mat,2133.50347124434,0,10,26.7032311236969,29.8936598645437,12,4.27422748736253,24,0.786363636363636,32,0,175.870462419428,1.38023610634732,8,26.1310230417935,41.3287389726999,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run022.mat,2166.29317729665,0,10,24.1072315239155,28.181250242763,12,3.99536775418469,24,0.609090909090909,32,0,168.88997039284,1.32545301768864,8,26.1487036476044,41.1383339482643,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run009.mat,2220.80920062921,0,11,24.0124027935833,26.5015302069484,12,2.42559512387962,24,0.645454545454546,32,0,147.706524519966,1.15920476628605,8,25.6000126288533,44.2177099613269,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run008.mat,2255.56779390167,0,11,25.1457248987879,27.9950055738895,12,2.86324490090594,24,0.831818181818182,32,0,158.07936620198,1.2406111060317,8,25.3670609500689,41.6240232610664,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run005.mat,2264.67996754943,0,11,25.3060911267972,31.3027504285608,12,3.70567556635344,24,0.613636363636364,32,0,164.638881962948,1.29209036166617,8,25.0758466669013,43.6891028954149,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run011.mat,2295.16005590647,0,11,25.7206786443321,29.3866959574557,12,3.28379225347951,24,0.813636363636364,32,0,164.08114253152,1.28771320764837,8,22.1879864523123,40.0963329669058,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run002.mat,2362.18759539568,0,12,26.0092197988391,28.1385455317319,12,2.8448097195541,24,0.868181818181818,32,0,152.389083124952,1.19595361181575,8,22.4798323267265,43.0062326705441,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run025.mat,2429.73596593239,0,11,27.4283153620894,32.3486205153718,12,4.36748749635593,24,0.813636363636364,32,0.104545454545455,212.588950881754,1.6684037886801,8,8.87833474874991,15.943329303147,0,0.333333333333333,8,1,0,0,0,1
2,AE,scene2_AE_run003.mat,2432.94285943784,0,13,24.3214304388331,26.8832723063777,12,2.92409402752118,24,0.759090909090909,32,0,147.677508482409,1.15897704764502,8,22.5490438595948,41.5427716969827,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run018.mat,2638.84984294201,0,14,23.9287350536232,26.3621017416223,12,2.77946996900154,24,0.718181818181818,32,0,153.735681825115,1.20652175453373,8,24.8224047933394,40.686846516238,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run030.mat,2972.14168835824,0,16,25.3404408260186,28.8877185175036,12,3.13945848491011,24,0.790909090909091,32,0,166.544491266695,1.30704563459512,8,18.7799313158998,39.1206427215926,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run001.mat,3040.80958956718,0,15,27.4785965528129,32.5713311183921,12,5.08017683486259,24,0.763636363636364,32,0.140909090909091,174.606378263961,1.37031553998936,8,12.6289025202272,27.0207189605786,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run019.mat,3295.52705106907,0,16,24.8977675623324,29.7317407447918,12,3.14481184604413,24,0.686363636363636,32,0,200.748053806386,1.57547611083054,8,14.6364140380797,36.9861436560798,0,0,8,1,0,0,0,1
2,AE,scene2_AE_run004.mat,3411.60295323543,0,17,27.9223380613968,33.2393070772947,12,5.4570026734318,24,0.718181818181818,32,0.368181818181818,222.763942278023,1.74825739407639,8,31.2668458418151,37.7989899271677,0,0,8,1,0,0,0,1
2,CPO,scene2_CPO_run001.mat,288.465199963969,1,0,32.6406131212168,35.4422447250782,12,4.59817467279056,24,0.922727272727273,32,0.8,144.11961369647,1.13105459393346,8,10.8798535122824,23.8153515666817,0,0,8,1,0,0,0,1
2,CPO,scene2_CPO_run014.mat,289.181669384571,1,0,32.3966606136448,34.6050126521823,12,4.37056731035622,24,0.922727272727273,32,0.804545454545455,144.793093353516,1.13634008034634,8,11.3612894362173,26.3193693280932,0,0,8,1,0,0,0,1
2,CPO,scene2_CPO_run006.mat,289.476782190213,1,0,31.9259305327586,34.4858039726721,12,4.45521634405488,24,0.918181818181818,32,0.768181818181818,144.208916921202,1.13175544803648,8,10.4080444146884,27.7497843947271,0,0,8,1,0,0,0,1
2,CPO,scene2_CPO_run020.mat,290.223293623971,1,0,32.7986438609212,35.2368904973328,12,4.52366602878498,24,0.922727272727273,32,0.804545454545455,145.012099768657,1.13805884856666,8,11.5781350895195,27.6353669762418,0,0,8,1,0,0,0,1
2,CPO,scene2_CPO_run011.mat,290.65362665999,1,0,32.7378121753448,35.7206990157223,12,4.36083595993658,24,0.927272727272727,32,0.813636363636364,143.76388633979,1.12826283609675,8,11.0327515004071,29.2935130743314,0,0,8,1,0,0,0,1
2,CPO,scene2_CPO_run023.mat,290.67773917959,1,0,32.5981692953489,35.346234627996,12,4.99447074900833,24,0.909090909090909,32,0.772727272727273,143.887067283763,1.12922956344906,8,8.35315452651672,26.3168231692194,0,0,8,1,0,0,0,1
2,CPO,scene2_CPO_run017.mat,292.025745939165,1,0,32.2807316007232,35.0590151654668,12,4.79706457515083,24,0.909090909090909,32,0.768181818181818,144.465147596965,1.13376635325261,8,9.19178873188044,27.0697053554368,0,0,8,1,0,0,0,1
2,CPO,scene2_CPO_run008.mat,292.031863153054,1,0,32.4016372881658,35.1055022629863,12,4.73397356649836,24,0.918181818181818,32,0.781818181818182,143.230672787345,1.12407816183505,8,9.07140153807149,29.5262400950151,0,0,8,1,0,0,0,1
