Scene,Algorithm,RunFile,BestFitness,Feasible,Violation,MeanZ,MaxZ,MinZ,StdZ,HighThreshold,HighAltitudeFrac,VeryHighThreshold,VeryHighAltitudeFrac,PathLength,DetourRatio,BoundaryBand,MinBoundaryDist,MeanBoundaryDist,BoundaryHugFrac,ControlPointBoundaryHugFrac,NumControlPoints,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,VisualReviewFlag
1,CVF-AE,scene1_CVF-AE_run001.mat,296.574506923489,1,0,12.5673909027883,18,11.2491987576263,1.34029369042236,24,0,32,0,135.030421957542,1.0597223733718,8,7.70030954510027,22.1699846184361,0.0050251256281407,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run002.mat,298.506821389739,1,0,12.6264306016632,18,11.3228381062542,1.2131162843756,24,0,32,0,134.494440844024,1.05551597921658,8,8.67041047712118,23.184447952538,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run003.mat,295.996239136792,1,0,13.1120053883938,18,11.353240590783,1.39581924463479,24,0,32,0,134.674186202829,1.0569266256137,8,8.22999075129617,24.1351940932968,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run004.mat,294.442362642541,1,0,12.7008395988279,18,11.2833627497279,1.66418572170919,24,0,32,0,135.273428978025,1.0616294989866,8,6.83742672955357,22.819113702246,0.0452261306532663,0.333333333333333,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run005.mat,301.257025247525,1,0,14.0056278469234,18,12,1.17968361994201,24,0,32,0,135.164832449041,1.06077723051431,8,8.49543351448743,22.9074168865356,0,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run006.mat,302.668740879568,1,0,14.368740621235,18,12,0.858680538899691,24,0,32,0,136.843524668839,1.07395165208195,8,7.06383834329636,21.6161072880801,0.0251256281407035,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run007.mat,298.652379481839,1,0,12.790493731434,18,11.6344968412382,1.30588008246757,24,0,32,0,137.342953193831,1.077871180542,8,6.55584878785098,21.1143804943346,0.0251256281407035,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run008.mat,301.265288020359,1,0,13.8078334726436,18,12,1.28673312649092,24,0,32,0,134.848562980938,1.05829513924552,8,7.26831594342988,23.7081999311366,0.0150753768844221,0.166666666666667,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run009.mat,300.047950753167,1,0,14.0485922129498,18,12,1.24900598966669,24,0,32,0,135.167976265427,1.06080190326963,8,7.55408823646074,22.3020036034899,0.0150753768844221,0,8,0,0,0,0,0
1,CVF-AE,scene1_CVF-AE_run010.mat,291.998598328339,1,0,12.282852490016,18,11.5651133330287,1.02074782060156,24,0,32,0,136.269495484697,1.06944665564793,8,11.2161145635731,23.3227047154238,0,0,8,0,0,0,0,0
