Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,MeanZ,MeanMaxZ,MeanHighAltitudeFrac,MeanVeryHighAltitudeFrac,MeanDetourRatio,MeanBoundaryDist,MeanBoundaryHugFrac,MeanControlPointBoundaryHugFrac,HighAltitudeFlagRate,BoundaryHugFlagRate,ExcessiveDetourFlagRate,ControlPointEdgeFlagRate,VisualReviewFlagRate
1,CVF-AE,30,1,298.137864539111,13.181035781185,18.0014913682558,0,0,1.06671698183956,22.4495286768604,0.0187604690117253,0.0833333333333333,0,0,0,0,0
1,AE,30,0.333333333333333,810.325824286047,23.9517522868884,28.0361548449552,0.546818181818182,0.00651515151515152,1.28669391869967,32.6917789540539,0.00569514237855946,0.0111111111111111,0.666666666666667,0,0.0333333333333333,0,0.666666666666667
1,PSO,30,0.866666666666667,397.508683252933,25.1503698383157,30.3097341997752,0.518787878787879,0.328484848484848,1.19890115704855,18.5536485392489,0.231825795644891,0.338888888888889,0.566666666666667,0.0333333333333333,0,0.266666666666667,0.733333333333333
1,GWO,30,0.933333333333333,345.369451984251,14.0034239749295,18.4052008044304,0.00757575757575758,0,1.22414606876601,7.13041478244238,0.622780569514238,0.744444444444445,0,0.466666666666667,0,0.9,0.9
1,WOA,30,0.8,611.09748925196,30.7655582651823,33.8512961971239,0.822878787878788,0.579242424242424,1.47700394648449,14.2318344943041,0.160134003350084,0.25,0.9,0.166666666666667,0.133333333333333,0.2,0.933333333333333
1,HHO,30,0.8,450.557517163338,19.4099960124416,24.0069741216093,0.268333333333333,0.113333333333333,1.24027231869751,10.5403411499893,0.47001675041876,0.588888888888889,0.266666666666667,0.333333333333333,0,0.433333333333333,0.6
1,DBO,30,1,344.882678794258,22.0318904807226,29.6678350266349,0.421363636363636,0.288636363636364,1.2705447217301,8.05146710809857,0.587102177554439,0.683333333333333,0.466666666666667,0.433333333333333,0,0.733333333333333,0.9
1,CPO,30,1,298.359427916365,25.6373797716726,28.5577421862029,0.663484848484849,0.112575757575758,1.15567810992277,18.1959938009356,0.0857621440536013,0.138888888888889,0.8,0,0,0,0.8
2,CVF-AE,30,1,301.201825136219,16.3765494482448,18.470001856691,0,0,1.15735054897051,20.3488158080062,0.0872696817420436,0.266666666666667,0,0,0,0,0
2,AE,30,0,1668.40423813825,19.8888876175781,22.3904929754513,0.0356060606060606,0,1.29356943874162,35.4069783102091,0.00201005025125628,0.0166666666666667,0,0,0,0,0
2,PSO,30,0.433333333333333,729.948994581617,23.0527999681901,26.6687870310049,0.452424242424242,0.218787878787879,1.29896221413688,22.5482150457546,0.16214405360134,0.261111111111111,0.533333333333333,0.133333333333333,0.0666666666666667,0.2,0.533333333333333
2,GWO,30,1,341.161120497287,14.7293167612464,18.8575957479977,0.0477272727272727,0,1.26104584554226,4.33751386030155,0.822278056951424,0.866666666666667,0.0666666666666667,0.9,0,1,1
2,WOA,30,0.433333333333333,915.903406074239,25.6513039854484,28.785402475616,0.729545454545455,0.160757575757576,1.47798659517879,11.6187324188431,0.337018425460636,0.45,0.8,0.266666666666667,0.166666666666667,0.433333333333333,0.966666666666667
2,HHO,30,0.9,395.834300530036,19.2096267946559,23.1406830124773,0.345606060606061,0.005,1.23310004827775,11.099289099034,0.4321608040201,0.538888888888889,0.4,0.333333333333333,0,0.466666666666667,0.766666666666667
2,DBO,30,1,337.786717755373,21.38495011628,26.1062134736839,0.474848484848485,0.366969696969697,1.25964785640106,10.037626330163,0.549413735343384,0.666666666666667,0.533333333333333,0.466666666666667,0,0.633333333333333,0.933333333333333
2,CPO,30,1,278.119562731852,28.2807645508788,30.459862777231,0.882121212121212,0.0916666666666667,1.10611781994238,23.4545376782393,0.00703517587939698,0.0111111111111111,1,0,0,0,1
4,CVF-AE,30,1,349.227029913288,14.6356660951913,19.0245031304372,0.000909090909090909,0,1.22963383476046,20.3145627903688,0.24891122278057,0.45,0,0.166666666666667,0,0.2,0.2
4,AE,30,0,1653.27054260566,16.8594751710384,18.4720387064034,0,0,1.21046507684393,41.1279078431747,0,0,0,0,0,0,0
4,PSO,30,0.0333333333333333,1295.45871625515,14.5186392849381,19.5197872189344,0.018030303030303,0.0104545454545455,1.38387806761032,34.7443939107276,0.0510887772194305,0.144444444444444,0.0333333333333333,0,0.0666666666666667,0.0333333333333333,0.1
4,GWO,30,0.633333333333333,608.45708450729,13.2397459430788,18.2401075361309,0,0,1.3613310358301,2.81656763756536,0.925963149078727,0.961111111111111,0,0.966666666666667,0.0333333333333333,1,1
4,WOA,30,0.0666666666666667,1485.67428395965,17.2616274782401,21.5201709913654,0.176969696969697,0.118030303030303,1.44542562871372,4.61171777276847,0.759798994974875,0.861111111111111,0.233333333333333,0.8,0.233333333333333,0.833333333333333,0.866666666666667
4,HHO,30,0.366666666666667,898.343987970181,12.5289414563915,19.0855287984607,0.0210606060606061,0,1.25860144881748,4.72076666455022,0.852763819095478,0.927777777777778,0,0.833333333333333,0,0.966666666666667,0.966666666666667
4,DBO,30,1,376.304061835975,13.8466675141398,20.2972088344025,0.106666666666667,0.0971212121212121,1.38754754865418,3.76181181090622,0.895812395309883,0.922222222222222,0.166666666666667,0.9,0,1,1
4,CPO,30,0.733333333333333,519.879650912483,21.0994290969196,23.0861758541731,0.309090909090909,0.237424242424242,1.36383257385972,5.0593725151435,0.871189279731993,0.922222222222222,0.433333333333333,0.933333333333333,0.0333333333333333,1,1
