ParamKey,Level,Scene,NumRuns,FeasibleRate,MeanBestFitness,MeanZ,MeanMaxZ,MeanHighAltitudeFrac,MeanVeryHighAltitudeFrac,MeanDetourRatio,MeanBoundaryDist,MeanBoundaryHugFrac,MeanControlPointBoundaryHugFrac,HighAltitudeFlagRate,BoundaryHugFlagRate,ExcessiveDetourFlagRate,ControlPointEdgeFlagRate,VisualReviewFlagRate
quota_scale,default,2,10,1,302.066342593858,16.4273619340638,18.4329246033223,0,0,1.15135675746168,20.9507519463574,0.078894472361809,0.25,0,0,0,0,0
quota_scale,default,4,10,1,342.398730539812,15.6185831307371,19.3820072734611,0,0,1.20829422291729,21.8994704401707,0.176884422110553,0.366666666666667,0,0.1,0,0.1,0.1
quota_scale,high,2,10,1,300.892448470111,15.9725708369238,18.122223666178,0,0,1.16470065046797,19.3781536784136,0.0984924623115578,0.266666666666667,0,0,0,0,0
quota_scale,high,4,10,1,340.567579352115,16.0111695857296,19.7964112160823,0,0,1.19125934392199,23.0559522653556,0.118090452261307,0.316666666666667,0,0,0,0,0
quota_scale,low,2,10,1,302.710258781604,16.7266738765149,18.5471480985905,0,0,1.15471473662377,20.7104000639107,0.0864321608040201,0.233333333333333,0,0,0,0,0
quota_scale,low,4,10,1,354.883975923183,15.0464026897615,18.7967912756469,0,0,1.25363170998131,17.073116710748,0.363819095477387,0.55,0,0.3,0,0.3,0.3
state_switch_threshold,default,2,10,1,301.239860854481,16.1817865765156,18.2516549228364,0,0,1.1545875176868,21.0782875439649,0.0778894472361809,0.216666666666667,0,0,0,0,0
state_switch_threshold,default,4,10,1,351.042228377221,15.788423391239,20.3801005341459,0.0440909090909091,0.0209090909090909,1.25222505716645,16.4384833599883,0.367336683417085,0.516666666666667,0,0.3,0,0.4,0.4
state_switch_threshold,loose,2,10,1,300.745700727493,16.1909655686139,18.3601930267631,0,0,1.16532196850616,19.4649807311745,0.109045226130653,0.283333333333333,0,0,0,0,0
state_switch_threshold,loose,4,10,1,356.912157313134,15.1834472399561,19.6681593254083,0.00954545454545455,0,1.26515628660429,16.9988659607694,0.372361809045226,0.533333333333333,0,0.3,0,0.3,0.3
state_switch_threshold,strict,2,10,1,303.709520730819,15.9486459427779,18.0698075955615,0,0,1.15296405562889,20.7847371059666,0.0738693467336683,0.25,0,0,0,0,0
state_switch_threshold,strict,4,10,1,354.087942003274,15.7976774201848,20.1851654145029,0.00863636363636364,0,1.24897363190835,16.4908590218581,0.391457286432161,0.583333333333333,0,0.3,0,0.3,0.3
step_strength,default,2,10,1,300.544296257537,16.0929369546299,18.3616450345896,0,0,1.17134405847662,18.7250334702997,0.116582914572864,0.283333333333333,0,0,0,0,0
step_strength,default,4,10,1,355.392949162461,14.0350590581707,18.9410438584524,0,0,1.23282602139581,19.4473068013565,0.254773869346734,0.383333333333333,0,0.1,0,0.1,0.1
step_strength,strong,2,10,1,301.766564024276,15.7898308261668,18.2446347850124,0,0,1.15816999124981,19.5933722065666,0.0869346733668342,0.3,0,0,0,0,0
step_strength,strong,4,10,1,351.598294072786,15.111003245648,19.3362154618439,0,0,1.23771944767195,19.4040578422702,0.275879396984925,0.4,0,0.2,0,0.2,0.2
step_strength,weak,2,10,1,302.135450812752,15.9922289165684,18.1273704705592,0,0,1.16146197882788,20.492286362282,0.101507537688442,0.216666666666667,0,0,0,0,0
step_strength,weak,4,10,1,347.026790075119,15.035925681833,18.435073732547,0,0,1.22528338801796,19.1123831948088,0.270854271356784,0.433333333333333,0,0.2,0,0.3,0.3
