ParamKey,ParamLabel,Level,LevelLabel,Scene,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount
quota_scale,CVF candidate quota scale,default,default CVF sparse trigger quota,4,8,20400839,380.324234410572,14.2533423,1,0,9282,0,164,98,88,64
quota_scale,CVF candidate quota scale,default,default CVF sparse trigger quota,4,9,20400840,333.572360241903,14.8397431,1,0,9299,0,187,122,82,57
quota_scale,CVF candidate quota scale,default,default CVF sparse trigger quota,4,10,20400841,363.566560134334,14.9229894,1,0,9290,0,170,109,90,65
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,1,20380932,297.683503666205,16.0262433,1,0,9562,8,514,322,18,15
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,2,20380933,297.487352444799,16.5714671,1,0,9565,10,506,323,29,24
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,3,20380934,297.333155925302,16.4652464,1,0,9577,12,510,387,37,28
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,4,20380935,302.188005535083,16.950958,1,0,9554,3,515,289,9,7
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,5,20380936,303.270260064676,16.0237033,1,0,9560,7,512,323,18,14
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,6,20380937,300.434135488935,16.5958995,1,0,9551,6,510,303,11,8
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,7,20380938,300.359487454718,16.7210807,1,0,9557,6,510,296,17,10
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,8,20380939,304.608173258628,17.5850717,1,0,9586,16,511,286,45,38
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,9,20380940,301.01906019939,17.5460442,1,0,9548,3,512,324,6,5
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,10,20380941,304.541350663373,16.5180494,1,0,9556,6,512,356,14,10
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,1,20400932,339.384501449153,16.8886911,1,0,9370,0,249,168,91,64
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,2,20400933,326.298884121754,16.792379,1,0,9356,0,238,160,88,75
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,3,20400934,323.685258694659,28.0865258,1,0,9465,0,377,221,58,43
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,4,20400935,356.973552659285,17.54711,1,0,9334,0,204,120,100,64
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,5,20400936,349.477913165104,19.5992853,1,0,9338,0,221,152,87,57
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,6,20400937,327.63287119184,20.0156416,1,0,9443,0,343,225,70,51
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,7,20400938,341.018967754935,16.7396106,1,0,9371,0,248,149,93,66
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,8,20400939,327.991066982144,20.7489141,1,0,9394,0,279,187,85,51
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,9,20400940,357.602290826191,19.6975498,1,0,9306,0,181,139,95,52
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,10,20400941,355.610486676086,20.3242236,1,0,9289,0,169,111,90,57
step_strength,CVF step strength,weak,0.75x CVF field strength,2,1,20480732,306.168257211881,21.633493,1,0,9554,4,514,296,10,9
step_strength,CVF step strength,weak,0.75x CVF field strength,2,2,20480733,294.397279823075,17.4745289,1,0,9543,4,505,341,8,6
step_strength,CVF step strength,weak,0.75x CVF field strength,2,3,20480734,300.294406374411,21.6192813,1,0,9549,3,512,316,7,5
step_strength,CVF step strength,weak,0.75x CVF field strength,2,4,20480735,299.901857613215,22.8123348,1,0,9567,13,512,316,25,22
step_strength,CVF step strength,weak,0.75x CVF field strength,2,5,20480736,300.6908065138,17.4617989,1,0,9552,5,511,324,11,10
step_strength,CVF step strength,weak,0.75x CVF field strength,2,6,20480737,303.702713778517,18.7297743,1,0,9547,0,512,293,5,3
step_strength,CVF step strength,weak,0.75x CVF field strength,2,7,20480738,303.399049780183,19.8699553,1,0,9551,8,508,312,13,11
step_strength,CVF step strength,weak,0.75x CVF field strength,2,8,20480739,304.8424841899,16.6997401,1,0,9554,1,513,348,11,5
step_strength,CVF step strength,weak,0.75x CVF field strength,2,9,20480740,305.741941717818,17.05288,1,0,9561,7,512,339,19,11
step_strength,CVF step strength,weak,0.75x CVF field strength,2,10,20480741,302.215711124722,15.3849178,1,0,9556,6,505,276,21,15
step_strength,CVF step strength,weak,0.75x CVF field strength,4,1,20500732,342.98863924326,17.2525288,1,0,9360,0,240,146,90,68
step_strength,CVF step strength,weak,0.75x CVF field strength,4,2,20500733,387.134639084858,19.2185134,1,0,9321,0,196,129,95,57
step_strength,CVF step strength,weak,0.75x CVF field strength,4,3,20500734,348.785261088444,14.8299801,1,0,9379,0,255,150,94,79
step_strength,CVF step strength,weak,0.75x CVF field strength,4,4,20500735,347.832888315219,16.685847,1,0,9341,0,216,141,95,68
step_strength,CVF step strength,weak,0.75x CVF field strength,4,5,20500736,356.297842594312,20.9432584,1,0,9354,0,226,161,98,69
