ParamKey,Level,Scene,Run,RunFile,BestFitness,Feasible,Violation,MeanZ,MaxZ,MinZ,StdZ,HighThreshold,HighAltitudeFrac,VeryHighThreshold,VeryHighAltitudeFrac,PathLength,DetourRatio,BoundaryBand,MinBoundaryDist,MeanBoundaryDist,BoundaryHugFrac,ControlPointBoundaryHugFrac,NumControlPoints,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,VisualReviewFlag
quota_scale,default,4,8,quota_scale_default_scene4_run008.mat,380.324234410572,1,0,17.4713380089051,20.1995560426329,12,1.96095920304001,24,0,25,0,175.286985814523,1.37565696630174,8,6.68581591867223e-07,3.09972541970586,0.879396984924623,0.833333333333333,8,0,1,0,1,1
quota_scale,low,4,4,quota_scale_low_scene4_run004.mat,376.046267925051,1,0,16.8194028451247,19.0563803394263,12,2.07812508687366,24,0,25,0,176.804622641422,1.38756742082601,8,0.157633136520815,2.00698043064135,0.974874371859296,1,8,0,1,0,1,1
quota_scale,low,4,5,quota_scale_low_scene4_run005.mat,383.91793637721,1,0,17.8656620729427,21.3644579300345,12,2.20434292172815,24,0,25,0,176.026225903514,1.38145854234839,8,0.431277956065486,3.00766102083528,0.949748743718593,1,8,0,1,0,1,1
quota_scale,low,4,7,quota_scale_low_scene4_run007.mat,386.980498102573,1,0,15.4274311608712,18,12,1.51942833366267,24,0,25,0,174.562641189926,1.3699722902592,8,1.09072229724183,3.99225441394831,0.934673366834171,1,8,0,1,0,1,1
state_switch_threshold,default,4,7,state_switch_threshold_default_scene4_run007.mat,359.459756618054,1,0,20.9916525551973,25.7178416834874,12,4.03564573051828,24,0.286363636363636,25,0.186363636363636,160.151087093101,1.25687002715388,8,2.84414450024681,9.44074748764357,0.336683417085427,0.833333333333333,8,0,0,0,1,1
state_switch_threshold,default,4,10,state_switch_threshold_default_scene4_run010.mat,367.787345000139,1,0,16.6018464485352,18,11.6160781637686,1.84065384410404,24,0,25,0,174.287095228321,1.36780979816169,8,0.649783182339661,2.73350575691012,0.949748743718593,1,8,0,1,0,1,1
state_switch_threshold,default,4,5,state_switch_threshold_default_scene4_run005.mat,373.904775985957,1,0,15.3283459687463,18,10.3508133900758,2.73533221625547,24,0,25,0,176.389584056025,1.38431018687546,8,5.91176103625912e-08,2.37505420287021,0.969849246231156,1,8,0,1,0,1,1
state_switch_threshold,default,4,9,state_switch_threshold_default_scene4_run009.mat,383.996150156704,1,0,18.4688131560717,25.0340432607463,11.7252902300909,4.31793852778421,24,0.154545454545455,25,0.0227272727272727,177.995415667218,1.39691279643246,8,1.85783327802135,4.45325557347153,0.979899497487437,0.833333333333333,8,0,1,0,1,1
state_switch_threshold,loose,4,4,state_switch_threshold_loose_scene4_run004.mat,368.598219676324,1,0,15.0840375647141,18.6900981382232,9.82278686199667,2.82490200449773,24,0,25,0,176.470309023952,1.38494371858899,8,3.35125349693044e-08,2.02707452997172,0.959798994974874,1,8,0,1,0,1,1
state_switch_threshold,loose,4,3,state_switch_threshold_loose_scene4_run003.mat,379.577583445535,1,0,17.4949349178908,20.5742147108599,10.705277668887,3.04669325470064,24,0,25,0,175.250081733309,1.37536734208251,8,0.377190331659932,3.42260817561505,0.92964824120603,1,8,0,1,0,1,1
state_switch_threshold,loose,4,2,state_switch_threshold_loose_scene4_run002.mat,386.318920229104,1,0,17.3818888942717,21.368518068598,11.0797768268846,3.34053619298778,24,0,25,0,176.263510854907,1.38332076101149,8,3.11055302404384e-07,2.99680483787265,0.924623115577889,1,8,0,1,0,1,1
state_switch_threshold,strict,4,8,state_switch_threshold_strict_scene4_run008.mat,368.751479838851,1,0,20.7626500723502,24.1267943492168,12,2.32540974496941,24,0.0863636363636364,25,0,175.728315668984,1.37912053483711,8,0.495091078792896,4.31505137196801,0.889447236180904,1,8,0,1,0,1,1
state_switch_threshold,strict,4,4,state_switch_threshold_strict_scene4_run004.mat,381.69721605483,1,0,15.4149944628268,18.206469503786,12,1.15369205715303,24,0,25,0,177.197729327361,1.39065253264135,8,1.09199019546195,3.31355679213857,1,1,8,0,1,0,1,1
state_switch_threshold,strict,4,5,state_switch_threshold_strict_scene4_run005.mat,401.066255379334,1,0,17.50897318658,21.4943822049939,11.7409105023417,2.67752752797631,24,0,25,0,175.773285184561,1.37947345680155,8,0.356577134739587,2.86708160245464,0.959798994974874,1,8,0,1,0,1,1
step_strength,default,4,5,step_strength_default_scene4_run005.mat,372.270759417907,1,0,11.6724363903421,18,8.88299861148183,2.41328247474953,24,0,25,0,175.089455706495,1.3741067447157,8,8.80101964639834e-08,3.21648969047588,0.939698492462312,1,8,0,1,0,1,1
step_strength,strong,4,4,step_strength_strong_scene4_run004.mat,366.447781947863,1,0,16.4639438339753,18.2825036851158,12,1.40272530321451,24,0,25,0,178.778940413485,1.40306191965723,8,1.11473298147757e-07,2.59156105965054,0.984924623115578,1,8,0,1,0,1,1
step_strength,strong,4,8,step_strength_strong_scene4_run008.mat,385.251223328521,1,0,15.4389945754322,21.0965443183613,12,2.23530689775279,24,0,25,0,179.707591958543,1.41035000189157,8,9.30815843958044e-07,2.4531336405246,1,1,8,0,1,0,1,1
step_strength,weak,4,1,step_strength_weak_scene4_run001.mat,342.98863924326,1,0,16.4356710402321,18,12,1.36680539568012,24,0,25,0,148.099681346724,1.16229027160789,8,5.8232586599897,20.6895930199857,0.246231155778894,0.666666666666667,8,0,0,0,1,1
step_strength,weak,4,9,step_strength_weak_scene4_run009.mat,370.873289025716,1,0,15.4591827132135,18,12,0.712816888494802,24,0,25,0,173.951236257056,1.36517396794665,8,1.58655158655766,4.40324407125864,0.894472361809045,0.833333333333333,8,0,1,0,1,1
step_strength,weak,4,2,step_strength_weak_scene4_run002.mat,387.134639084858,1,0,15.5302607545207,18,11.2548229364882,1.97573917976424,24,0,25,0,176.575403263176,1.38576850099731,8,2.47349305482203e-08,2.5327256134876,0.919597989949749,0.833333333333333,8,0,1,0,1,1
