Scene,Algorithm,Mean,Std,Rank,Feasibility,AvgRuntime,AvgNEvals,AvgFirstFeasibleIter,AvgRepairCount,AvgRepairSuccessCount,AvgViabilityFieldCount,AvgViabilityFieldSuccessCount
2,CVF-AE,303.255277718002,4.41577616283299,2,1,1.54060428,1671.6,4.8,38.6,23.4,13,9.8
2,AE,2247.9932127973,546.960372294447,8,0,1.0260978,1620,NaN,NaN,NaN,0,0
2,PSO,874.287173842525,508.11474682642,6,0.4,0.97847564,1620,NaN,NaN,NaN,0,0
2,GWO,372.433406603735,69.5629245338655,3,1,0.96584962,1620,NaN,NaN,NaN,0,0
2,WOA,818.936190585319,286.910286478723,5,0.8,0.92638178,1620,NaN,NaN,NaN,0,0
2,HHO,1014.92667054245,630.785233421041,7,0.4,1.18693158,2012.6,NaN,NaN,NaN,0,0
2,DBO,445.534601933811,51.9985507104239,4,1,1.01127606,1620,NaN,NaN,NaN,0,0
2,CPO,296.274498437968,7.57661716645534,1,1,1.06536416,1620,NaN,NaN,NaN,0,0
