Scene,Algorithm,RunFile,BestFitness,Feasible,Violation,MeanZ,MaxZ,MinZ,StdZ,HighThreshold,HighAltitudeFrac,VeryHighThreshold,VeryHighAltitudeFrac,PathLength,DetourRatio,BoundaryBand,MinBoundaryDist,MeanBoundaryDist,BoundaryHugFrac,ControlPointBoundaryHugFrac,NumControlPoints,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,VisualReviewFlag
2,CVF-AE,scene2_CVF-AE_run001.mat,300.139224411031,1,0,17.4805026035782,19.3715020475698,12,1.54197980769744,24,0,31,0,147.629239940897,1.15859823483655,8,4.12761596487783,20.8483963311677,0.150753768844221,0.333333333333333,8,0,0,0,0,0
2,CVF-AE,scene2_CVF-AE_run002.mat,298.640689691069,1,0,15.0726190709261,18,12,1.04797889101317,24,0,31,0,146.141865447516,1.14692527991745,8,6.33499901959937,20.7855382645409,0.0954773869346734,0.166666666666667,8,0,0,0,0,0
2,CVF-AE,scene2_CVF-AE_run003.mat,307.771439656483,1,0,15.7818957783851,18.4642993087191,12,1.62104011636941,24,0,31,0,145.015593646131,1.13808626861079,8,6.00989992749959,21.1758077863305,0.0603015075376884,0.166666666666667,8,0,0,0,0,0
2,CVF-AE,scene2_CVF-AE_run004.mat,308.135890909862,1,0,17.4323573702667,20.6295262335693,12,1.68868601822969,24,0,31,0,146.327293407364,1.14838052351997,8,6.59141763244283,20.6511120055716,0.0703517587939698,0.166666666666667,8,0,0,0,0,0
2,CVF-AE,scene2_CVF-AE_run005.mat,301.589143921567,1,0,14.6838422736123,18,12,1.13293048691776,24,0,31,0,145.333658892493,1.14058245319553,8,6.12298315256891,20.7434100131927,0.050251256281407,0.333333333333333,8,0,0,0,0,0
2,AE,scene2_AE_run001.mat,2406.32043004971,0,12,18.4937767713237,20.5111669771869,12,2.12258008387106,24,0,31,0,174.012438920854,1.36565428809374,8,23.4514431871546,33.7248351864316,0,0,8,0,0,0,0,0
2,AE,scene2_AE_run002.mat,2443.85912211332,0,12.2296623758171,21.6276049369835,24.9742364750616,12,2.96290144191055,24,0.359090909090909,31,0,197.606492443375,1.5508210529892,8,15.3234729528754,39.001309255834,0,0,8,0,0,0,0,0
2,AE,scene2_AE_run003.mat,1315.90116978554,0,5,19.2632421774955,20.8147637878426,12,1.54552714700578,24,0,31,0,190.770384095344,1.49717109131257,8,15.5675662597672,31.7571288649582,0,0,8,0,0,0,0,0
2,AE,scene2_AE_run004.mat,2757.68287785476,0,11,23.7934204320077,29.7188703271346,11.9752044968642,5.28526283157198,24,0.509090909090909,31,0,267.639543261066,2.10044231426562,8,9.00024923252574,22.9542650319472,0,0.5,8,1,0,1,0,1
2,AE,scene2_AE_run005.mat,2316.20246418314,0,12,20.2714404643673,24.5333900133401,12,3.15263176476782,24,0.209090909090909,31,0,159.817247865438,1.25425004794079,8,20.9106175281819,39.7864280174429,0,0,8,0,0,0,0,0
2,PSO,scene2_PSO_run001.mat,385.27221052957,1,0,28.2592705930482,31.9999999698231,12,5.30155430857765,24,0.804545454545455,31,0.513636363636364,155.985847243911,1.22418111309543,8,7.88239219673414e-07,15.5211698438978,0.477386934673367,0.666666666666667,8,1,0,0,1,1
2,PSO,scene2_PSO_run002.mat,1016.0965591449,0,3,22.2376715246585,24.4561945289731,12,2.44173476320634,24,0.231818181818182,31,0,189.837003244472,1.48984589335934,8,1.63733182436724,29.2629804695068,0.160804020100503,0.333333333333333,8,0,0,0,0,0
2,PSO,scene2_PSO_run003.mat,377.407777606225,1,0,17.1817036374639,25.6502830455277,10.029569126292,5.3617140299307,24,0.131818181818182,31,0,175.181044314674,1.37482553456932,8,3.91360991555702e-07,3.5789910377636,0.869346733668342,1,8,0,1,0,1,1
2,PSO,scene2_PSO_run004.mat,1588.17550331023,0,6,17.1670869951954,25.1612474629681,11.5036982210143,4.28025441265553,24,0.0681818181818182,31,0,230.621920992698,1.80992702179953,8,1.42708543072438,19.4809214223731,0.180904522613065,0.5,8,0,0,1,0,1
2,PSO,scene2_PSO_run005.mat,1004.48381862171,0,3,18.2862843643514,23.0710668594151,12,2.75899655540724,24,0,31,0,182.154037438405,1.42954977163724,8,6.7842750617468,37.1408103651124,0.0150753768844221,0.166666666666667,8,0,0,0,0,0
